"Title"	"Artist"	"Time"	"Date"	"Album"	"Composers"	"url"	"spotify_id"	"spotify_uri"
"Give A Little Whistle"	"Dave Brubeck"	"10:01pm"	2016-04-30	"Dave Digs Disney"	" Jean Cis, Leigh Harline, Ned Washington"	"https://open.spotify.com/track/16kNj1TQWuf5dwysbj0NwW"	"16kNj1TQWuf5dwysbj0NwW"	"spotify:track:16kNj1TQWuf5dwysbj0NwW"
"Second Balcony Jump"	"Dave Babcock And His Jump Orchestra"	"10:09pm"	2016-04-30	"Jump To It"	" G Valentine, Billy Eckstine"	NA	NA	NA
"They Can't Take That Away From Me"	"Sarah Vaughan"	"10:13pm"	2016-04-30	"Swingin' Easy With Sarah Vaughan"	"Roy Haynes"	"https://open.spotify.com/track/49zFKnjb5eIicaZc6mEw5H"	"49zFKnjb5eIicaZc6mEw5H"	"spotify:track:49zFKnjb5eIicaZc6mEw5H"
"Canadiana Suite/Hogtown Blues"	"Ross Taggart, Ross Taggart Trio, Ken Lister, Craig Scott"	"10:16pm"	2016-04-30	"Presenting The Ross Taggart Trio"	" Oscar Peterson"	NA	NA	NA
"Waltz For Clay"	"Hutchinson Andrew Trio"	"10:22pm"	2016-04-30	"Hutchinson Andrew Trio: Prairie Modern"	" Chris Andrew"	"https://open.spotify.com/track/0sOsnK40mj7zJoRAzJITTk"	"0sOsnK40mj7zJoRAzJITTk"	"spotify:track:0sOsnK40mj7zJoRAzJITTk"
"Ain't Misbehavin'"	"Stephane Grappelli"	"10:27pm"	2016-04-30	"Stephane Grappelli: Shades Of Django"	" Thomas \"Fats\" Waller, Harry Brooks, Andy Razaf"	"https://open.spotify.com/track/70rOdJMX2vld2WnZzjB8ju"	"70rOdJMX2vld2WnZzjB8ju"	"spotify:track:70rOdJMX2vld2WnZzjB8ju"
"I Can't Give You Anything But Love"	"Diana Krall"	"10:32pm"	2016-04-30	"Diana Krall: When I Look In Your Eyes"	" Jimmy Mchugh, Dorothy Fields"	"https://open.spotify.com/track/6lTEWW5E6WLfctDEx0g2Lx"	"6lTEWW5E6WLfctDEx0g2Lx"	"spotify:track:6lTEWW5E6WLfctDEx0g2Lx"
"Farms"	"James Farm"	"10:34pm"	2016-04-30	"City Folk"	" Aaron Parks"	NA	NA	NA
"The Contessa"	"Makoto Ozone"	"10:40pm"	2016-04-30	"Oscar, With Love"	" Oscar Peterson"	NA	NA	NA
"Easy Does It"	"Sonny Stitt,  Oscar Peterson"	"10:46pm"	2016-04-30	"Sonny Stitt: Sits In With The Os"	"Ray Brown"	"https://open.spotify.com/track/3JyclFp54famYZDydd39mW"	"3JyclFp54famYZDydd39mW"	"spotify:track:3JyclFp54famYZDydd39mW"
"My Love"	"John Pizzarelli"	"10:51pm"	2016-04-30	"John Pizzarelli: Midnight Mccartney"	" Paul Mccartney, Linda Mccartney"	"https://open.spotify.com/track/6KASi9xbG1S9YbNsdkHfj2"	"6KASi9xbG1S9YbNsdkHfj2"	"spotify:track:6KASi9xbG1S9YbNsdkHfj2"
"Lily"	"Steve Koven"	"10:56pm"	2016-04-30	"Solo Retrospective"	" Steve Koven"	"https://open.spotify.com/track/1pUig0uB6aB0ksLMt8Arkd"	"1pUig0uB6aB0ksLMt8Arkd"	"spotify:track:1pUig0uB6aB0ksLMt8Arkd"
"The Gaits (Feat. Sin Fang)"	"Zoon Van Snook"	"11:08pm"	2016-04-30	"The Gaits (Single)"	" Zoon Van Snook, Sindri Mar Sigfusson"	"https://open.spotify.com/track/76naCH2GBSarmMpzJ4zJMz"	"76naCH2GBSarmMpzJ4zJMz"	"spotify:track:76naCH2GBSarmMpzJ4zJMz"
"Doing The Right Thing"	"Daughter"	"11:12pm"	2016-04-30	"Doing The Right Thing (Single)"	" Elena Tonra, Remi Aguilella, Igor Haefeli"	"https://open.spotify.com/track/2X8DqCikgiVk3214hbHEpz"	"2X8DqCikgiVk3214hbHEpz"	"spotify:track:2X8DqCikgiVk3214hbHEpz"
"Tookah"	"Emiliana Torrini"	"11:18pm"	2016-04-30	"Tookah"	" Emiliana Torrini"	"https://open.spotify.com/track/29pzptaXsAhT3atawp0La9"	"29pzptaXsAhT3atawp0La9"	"spotify:track:29pzptaXsAhT3atawp0La9"
"This War Is More Than Us"	"Casey Mecija"	"11:21pm"	2016-04-30	"Psychic Materials"	" Casey Mecija"	"https://open.spotify.com/track/5R5nTcZVBhBkkM36L888Ro"	"5R5nTcZVBhBkkM36L888Ro"	"spotify:track:5R5nTcZVBhBkkM36L888Ro"
"Blue Moon"	"Beck"	"11:25pm"	2016-04-30	"Morning Phase"	"Beck"	"https://open.spotify.com/track/4gNErDjikE9QUQvkkqoB1S"	"4gNErDjikE9QUQvkkqoB1S"	"spotify:track:4gNErDjikE9QUQvkkqoB1S"
"Can't Get Your Love"	"Coeur De Pirate"	"11:29pm"	2016-04-30	"Roses"	"Coeur De Pirate"	"https://open.spotify.com/track/1hDqPqXUg92sxceE70HHAb"	"1hDqPqXUg92sxceE70HHAb"	"spotify:track:1hDqPqXUg92sxceE70HHAb"
"Faraway Car Ride"	"Twin Within"	"11:32pm"	2016-04-30	"Horizontal Lines"	" Alex Samaras, Steve Mckay"	"https://open.spotify.com/track/0kt4JTkBNPZkQm2biMyIaE"	"0kt4JTkBNPZkQm2biMyIaE"	"spotify:track:0kt4JTkBNPZkQm2biMyIaE"
"Baby Moses"	"Jordan Klassen"	"11:38pm"	2016-04-30	"Javelin"	" Jordan Klassen"	"https://open.spotify.com/track/1zdf0UoMJ7xBWVRxyFNEdv"	"1zdf0UoMJ7xBWVRxyFNEdv"	"spotify:track:1zdf0UoMJ7xBWVRxyFNEdv"
"Vol Plane"	"Jean Cormier Louis"	"11:42pm"	2016-04-30	"Louis-Jean Cormier: Les Grandes Arteres"	"Jean  Louis Cormier"	"https://open.spotify.com/track/16ehhtClsYm2wutZV5oZFk"	"16ehhtClsYm2wutZV5oZFk"	"spotify:track:16ehhtClsYm2wutZV5oZFk"
"Everything"	"Chantal Acda"	"11:48pm"	2016-04-30	"Everything (Single)"	" Chantal Acda"	"https://open.spotify.com/track/2gb2SlrveDeWOXBdqgDUxb"	"2gb2SlrveDeWOXBdqgDUxb"	"spotify:track:2gb2SlrveDeWOXBdqgDUxb"
"Figures Of A New Colour"	"Montag"	"11:51pm"	2016-04-30	"Alone, Not Alone"	" Antoine Bedard"	NA	NA	NA
"Pommel Horse"	"Joyful Talk"	"11:55pm"	2016-04-30	"Muuixx"	" Jay Crocker"	NA	NA	NA
"Don't Go"	"Hannah Georgas"	"10:04pm"	2016-05-02	"For Evelyn"	" Hannah Georgas, Ryan Guldemond"	"https://open.spotify.com/track/5ycugTzThpIFF83D0i3oJg"	"5ycugTzThpIFF83D0i3oJg"	"spotify:track:5ycugTzThpIFF83D0i3oJg"
"The Cat With The Cream"	"Belle & Sebastian"	"10:08pm"	2016-05-02	"The Cat With The Cream (Single)"	" Sarah Martin, Stevie Jackson, Bobby Kildea, Richard Colburn, Stuart Murdoch, Chris Geddes"	"https://open.spotify.com/track/77lfvSnUESi6Xd9QPcx1Ln"	"77lfvSnUESi6Xd9QPcx1Ln"	"spotify:track:77lfvSnUESi6Xd9QPcx1Ln"
"True Affection"	"Father John Misty"	"10:14pm"	2016-05-02	"I Love You, Honeybear"	" Josh Tillman"	"https://open.spotify.com/track/4qG7NaN5VGPE2HPFKFHKCs"	"4qG7NaN5VGPE2HPFKFHKCs"	"spotify:track:4qG7NaN5VGPE2HPFKFHKCs"
"Who Came First"	"Andy Kim"	"10:18pm"	2016-05-02	"It's Decided"	" Dave Hamelin, Ohad Benchetrit, Andy Kim, Kevin Drew"	"https://open.spotify.com/track/3xN0tEQoiHLErc88bBL9nt"	"3xN0tEQoiHLErc88bBL9nt"	"spotify:track:3xN0tEQoiHLErc88bBL9nt"
"Play It On My Radio"	"Niki & The Dove"	"10:24pm"	2016-05-02	"Play It On My Radio (Single)"	" Malin Dahlstrom, Magnus Boqvist, Gustaf Karlof"	"https://open.spotify.com/track/68zrJREOR8gHEZFQF1bo62"	"68zrJREOR8gHEZFQF1bo62"	"spotify:track:68zrJREOR8gHEZFQF1bo62"
"Time"	"Peirson"	"10:29pm"	2016-05-02	"Wild Ones"	" Peirson Ross"	NA	NA	NA
"Work"	"Charlotte Day Wilson"	"10:34pm"	2016-05-02	"Work (Single)"	" Charlotte Day Wilson"	"https://open.spotify.com/track/42YrWn7KYjhJ2GfjTJ3HSY"	"42YrWn7KYjhJ2GfjTJ3HSY"	"spotify:track:42YrWn7KYjhJ2GfjTJ3HSY"
"Dry"	"The Loodies"	"10:37pm"	2016-05-02	"The Loodies"	" Ludovic Alarie"	"https://open.spotify.com/track/5xuVnzlqHkVR5YqI2gWdqi"	"5xuVnzlqHkVR5YqI2gWdqi"	"spotify:track:5xuVnzlqHkVR5YqI2gWdqi"
"A L'amour Et A La Mer"	"Yann Perreau"	"10:42pm"	2016-05-02	"Yann Perreau: Le Fantastique Des Astres"	"Tante Blanche, Yann Perreau"	"https://open.spotify.com/track/1UR8dPtAbQoA9jj7Q3nYfl"	"1UR8dPtAbQoA9jj7Q3nYfl"	"spotify:track:1UR8dPtAbQoA9jj7Q3nYfl"
"Paradise"	"Emily Millard"	"10:46pm"	2016-05-02	"Paradise (Single)"	" Emily Millard"	"https://open.spotify.com/track/1fmZgMQTxDn12wQkTomRlh"	"1fmZgMQTxDn12wQkTomRlh"	"spotify:track:1fmZgMQTxDn12wQkTomRlh"
"Ether"	"Mogwai"	"10:52pm"	2016-05-02	"Les Inrockuptibles: Un Printemps 2016, Vol 1"	"Mogwai"	"https://open.spotify.com/track/49fKIKnEXvfCEy2HWwKwVG"	"49fKIKnEXvfCEy2HWwKwVG"	"spotify:track:49fKIKnEXvfCEy2HWwKwVG"
"En Ensam Vandrare"	"Anna Von Hausswolff"	"10:57pm"	2016-05-02	"En Ensam Vandrare (Single)"	" Anna Von Hausswolff"	"https://open.spotify.com/track/2bHZZV74btiuwvTaXFFuSt"	"2bHZZV74btiuwvTaXFFuSt"	"spotify:track:2bHZZV74btiuwvTaXFFuSt"
"Twist"	"Aero Flynn"	"11pm"	2016-05-02	"Twist (Single)"	" Josh Scott"	"https://open.spotify.com/track/0airoO3eArrq3KV94IrP7R"	"0airoO3eArrq3KV94IrP7R"	"spotify:track:0airoO3eArrq3KV94IrP7R"
"Soothe This Pain"	"Asgeir"	"11:03pm"	2016-05-02	"Asgeir: In The Silence"	" Asgeir Trausti Einarsson, Orvar Thoreyjarson Smarason"	NA	NA	NA
"Someone Will Notice"	"Little Scream"	"11:08pm"	2016-05-02	"Someone Will Notice (Single)"	"Little Scream"	"https://open.spotify.com/track/7IAuUMlHPTtE6VKwV9d9P6"	"7IAuUMlHPTtE6VKwV9d9P6"	"spotify:track:7IAuUMlHPTtE6VKwV9d9P6"
"Bittersweet Genesis For Him And Her"	"Kishi Bashi"	"11:14pm"	2016-05-02	"Lighght"	" Kishi Bashi"	"https://open.spotify.com/track/7MehbJjRhHKPuJ2Sh6QHVt"	"7MehbJjRhHKPuJ2Sh6QHVt"	"spotify:track:7MehbJjRhHKPuJ2Sh6QHVt"
"Anthem"	"Alana Yorke"	"11:19pm"	2016-05-02	"Dream Magic"	" Alana Yorke"	"https://open.spotify.com/track/5wuGM5hjmXOFF00kEn1Zlw"	"5wuGM5hjmXOFF00kEn1Zlw"	"spotify:track:5wuGM5hjmXOFF00kEn1Zlw"
"Southwestern Territory"	"The Mountain Goats"	"11:24pm"	2016-05-02	"Southwestern Territory (Single)"	" Peter Hughes, Jon Wurster, John Darnielle"	"https://open.spotify.com/track/49FUmd0a6bVW6GmsjBoZbj"	"49FUmd0a6bVW6GmsjBoZbj"	"spotify:track:49FUmd0a6bVW6GmsjBoZbj"
"Into The Blue Sea"	"North Atlantic Explorers"	"11:28pm"	2016-05-02	"My Father Was A Sailor"	" Glenn D'cruze"	"https://open.spotify.com/track/0nVamqMn0tTi0MJsF3WWDH"	"0nVamqMn0tTi0MJsF3WWDH"	"spotify:track:0nVamqMn0tTi0MJsF3WWDH"
"In Circles"	"Patrick Watson"	"11:31pm"	2016-05-02	"In Circles (Single)"	" Patrick Watson"	"https://open.spotify.com/track/0tP4TUIpdfibLMp5rhVLnw"	"0tP4TUIpdfibLMp5rhVLnw"	"spotify:track:0tP4TUIpdfibLMp5rhVLnw"
"Poison (Feat. Deebs)"	"Milk & Bone"	"11:34pm"	2016-05-02	"Poison (Single)"	" Laurence Beaulne Lafond, Camille Poliquin"	"https://open.spotify.com/track/1M8tdZOEb2MVcMhNQspfHe"	"1M8tdZOEb2MVcMhNQspfHe"	"spotify:track:1M8tdZOEb2MVcMhNQspfHe"
"The Ace"	"Artisan Loyalist"	"11:37pm"	2016-05-02	"The Ace (Single)"	" Paul Fuellbrandt, Nathan Marshall, Jordan Yeo, Rob Batke"	"https://open.spotify.com/track/64vBXBBjQtxWvDdGLYOk3t"	"64vBXBBjQtxWvDdGLYOk3t"	"spotify:track:64vBXBBjQtxWvDdGLYOk3t"
"Island"	"Etiquette"	"11:43pm"	2016-05-02	"Reminisce"	" Julie Fader, Graham Walsh"	"https://open.spotify.com/track/425b5YdhKt1M1s4LLiJnRx"	"425b5YdhKt1M1s4LLiJnRx"	"spotify:track:425b5YdhKt1M1s4LLiJnRx"
"Dear Shark"	"Luxury Pond"	"11:48pm"	2016-05-02	"Luxury Pond"	" Dan Goldman"	NA	NA	NA
"Pacific Ocean"	"Dirty  Beaches"	"11:52pm"	2016-05-02	"Pacific Ocean (Single)"	"Dirty Beaches"	NA	NA	NA
"Burn The Witch"	"Radiohead"	"10:03pm"	2016-05-03	"Burn The Witch (Single)"	" Thom Yorke"	"https://open.spotify.com/track/3pcCifdPTc2BbqmWpEhtUd"	"3pcCifdPTc2BbqmWpEhtUd"	"spotify:track:3pcCifdPTc2BbqmWpEhtUd"
"Palm Trees"	"Lowell"	"10:07pm"	2016-05-03	"We Loved Her Dearly"	"Lowell, James Bryan"	"https://open.spotify.com/track/5CBcAuXhSrMVwxtDWLzZAX"	"5CBcAuXhSrMVwxtDWLzZAX"	"spotify:track:5CBcAuXhSrMVwxtDWLzZAX"
"The Love You're Given (Radio Edit)"	"Jack Garratt"	"10:13pm"	2016-05-03	"Phase"	" Lisa Fisher, Jack Garratt, Tom Hammer"	NA	NA	NA
"Thorns & Spades"	"Dear Criminals"	"10:16pm"	2016-05-03	"Strip"	" Frannie Holder, Charles Lavoie, Vincent Legault"	"https://open.spotify.com/track/3i75DPZyrDznbEtzc7L8o0"	"3i75DPZyrDznbEtzc7L8o0"	"spotify:track:3i75DPZyrDznbEtzc7L8o0"
"The Leftovers"	"Johan Agebjorn"	"10:20pm"	2016-05-03	"Notes"	" Johan Agebjorn"	"https://open.spotify.com/track/1elZGr9SaK4NWUVTdfKggQ"	"1elZGr9SaK4NWUVTdfKggQ"	"spotify:track:1elZGr9SaK4NWUVTdfKggQ"
"Ferocisimo"	"Juana Molina"	"10:25pm"	2016-05-03	"Wed 21"	" Juana Molina"	"https://open.spotify.com/track/0lh2yNiqYmbR0vD3ffSyF6"	"0lh2yNiqYmbR0vD3ffSyF6"	"spotify:track:0lh2yNiqYmbR0vD3ffSyF6"
"Out The Window"	"Amos The Transparent"	"10:29pm"	2016-05-03	"This Cold Escape"	" Chris Wilson, James Nicol, Mike Yates, Dan Hay, Olenka Reshitnyk, Jonathan Chandler"	"https://open.spotify.com/track/1xbzon1LIZwVbnjBIjDPZ5"	"1xbzon1LIZwVbnjBIjDPZ5"	"spotify:track:1xbzon1LIZwVbnjBIjDPZ5"
"Get Happy"	"Blue Hawaii"	"10:32pm"	2016-05-03	"Get Happy (Single)"	" Raphaelle Preston Standell, Alex Cowan"	"https://open.spotify.com/track/1xW6Y43t01h7pVxzBXSFRY"	"1xW6Y43t01h7pVxzBXSFRY"	"spotify:track:1xW6Y43t01h7pVxzBXSFRY"
"Catching Echoes"	"King Karoshi"	"10:37pm"	2016-05-03	"Catching Echoes (Single)"	" Alexy Guerer, Remi Denis, Antoine Poliquin, Patrick Dunphy"	"https://open.spotify.com/track/4K547sd6LBciakZBsV0v2f"	"4K547sd6LBciakZBsV0v2f"	"spotify:track:4K547sd6LBciakZBsV0v2f"
"Maria"	"Shook Fool, Peter Oundjian"	"10:41pm"	2016-05-03	"From The Ground"	" Peter Oundjian"	NA	NA	NA
"Fickle Sun: The Hour Is Thin"	"Brian Eno"	"10:46pm"	2016-05-03	"The Ship"	" Brian Eno"	"https://open.spotify.com/track/5osAPqxCwmLqfibbGlmNFH"	"5osAPqxCwmLqfibbGlmNFH"	"spotify:track:5osAPqxCwmLqfibbGlmNFH"
"Video Hostage"	"Doldrums"	"10:49pm"	2016-05-03	"The Air Conditioned Nightmare"	" Airick Woodhead"	"https://open.spotify.com/track/2SJp9FV51NSj4jHBprLPjN"	"2SJp9FV51NSj4jHBprLPjN"	"spotify:track:2SJp9FV51NSj4jHBprLPjN"
"Transportation"	"Julia Kent"	"10:54pm"	2016-05-03	"Characters"	" Julia Kent"	"https://open.spotify.com/track/1TF6AzP4KoTfDEhRD0hk1t"	"1TF6AzP4KoTfDEhRD0hk1t"	"spotify:track:1TF6AzP4KoTfDEhRD0hk1t"
"Braid"	"Gem Club"	"11:02pm"	2016-05-03	"In Roses"	" Christopher Barnes, Ieva Berberian, Kristen Drymala"	"https://open.spotify.com/track/1zcEDhNeOhque1DDGnnsde"	"1zcEDhNeOhque1DDGnnsde"	"spotify:track:1zcEDhNeOhque1DDGnnsde"
"Let It Carry You"	"Jose Gonzalez"	"11:08pm"	2016-05-03	"Vestiges & Claws"	" Jose Gonzalez"	"https://open.spotify.com/track/5w7yQSZW3YS32abOWzPX9t"	"5w7yQSZW3YS32abOWzPX9t"	"spotify:track:5w7yQSZW3YS32abOWzPX9t"
"Sleep"	"Tom The Lion"	"11:13pm"	2016-05-03	"Sleep (Single)"	"Tom The Lion"	"https://open.spotify.com/track/2J2KdNYagBVuvbF8GRNjC3"	"2J2KdNYagBVuvbF8GRNjC3"	"spotify:track:2J2KdNYagBVuvbF8GRNjC3"
"Hell"	"Jordan Max"	"11:18pm"	2016-05-03	"Hell (Single)"	" Jordan Max"	"https://open.spotify.com/track/04NqdapAyKtUhZ1flTuVwD"	"04NqdapAyKtUhZ1flTuVwD"	"spotify:track:04NqdapAyKtUhZ1flTuVwD"
"Blue Bucket Of Gold"	"Sufjan Stevens"	"11:22pm"	2016-05-03	"Carrie & Lowell"	" Sufjan Stevens"	"https://open.spotify.com/track/34oRN9NqGLPCrnC7SGrLZa"	"34oRN9NqGLPCrnC7SGrLZa"	"spotify:track:34oRN9NqGLPCrnC7SGrLZa"
"Caribou"	"Tanya Tagaq"	"11:28pm"	2016-05-03	"Animism"	"Black Francis"	"https://open.spotify.com/track/7aVnfzUmW0yzga95VsJKn4"	"7aVnfzUmW0yzga95VsJKn4"	"spotify:track:7aVnfzUmW0yzga95VsJKn4"
"Merry Go Round"	"Blood And Glass"	"11:32pm"	2016-05-03	"Museum With No Walls"	" Lisa Moore Iwanycki"	"https://open.spotify.com/track/6N6Ib1yRVs7rX1DSwMiXYH"	"6N6Ib1yRVs7rX1DSwMiXYH"	"spotify:track:6N6Ib1yRVs7rX1DSwMiXYH"
"Popolipo (Feat. Sjamsoedin)"	"Pierre Kwenders, Sjamsoedin"	"11:37pm"	2016-05-03	"Pierre Kwenders: Popolipo (The Remixes)  Ep"	" Pierre Kwenders,Samito"	"https://open.spotify.com/track/3GTN6zXped540cq58z6Lgd"	"3GTN6zXped540cq58z6Lgd"	"spotify:track:3GTN6zXped540cq58z6Lgd"
"Wings"	"Postmoderndisco"	"11:44pm"	2016-05-03	"Chasing Memories"	"Postmoderndisco"	"https://open.spotify.com/track/2wlGbCCg8znqJXzy6w0RyY"	"2wlGbCCg8znqJXzy6w0RyY"	"spotify:track:2wlGbCCg8znqJXzy6w0RyY"
"The Good Light"	"Larch"	"11:49pm"	2016-05-03	"Larch"	" Zander Sherman, Rory Stevens Jordan"	"https://open.spotify.com/track/26mongNWImbe26PNjzIEPX"	"26mongNWImbe26PNjzIEPX"	"spotify:track:26mongNWImbe26PNjzIEPX"
"Unsurfed Waves"	"Snowblink"	"11:52pm"	2016-05-03	"Inner Classics"	" Daniela Gesundheit"	"https://open.spotify.com/track/5SI2IwhTT6an2AGlyH7cDs"	"5SI2IwhTT6an2AGlyH7cDs"	"spotify:track:5SI2IwhTT6an2AGlyH7cDs"
"Visiting Hours (Zachary Gray Remix)"	"O'haara, Zachary Gray"	"11:56pm"	2016-05-03	"A Person Disguised As People: Forest City Series, Vol. 2"	"O'haara"	NA	NA	NA
"Wonder"	"Gungor"	"10:04pm"	2016-05-04	"Wonder (Single)"	" Lisa Gungor, Michael Gungor"	"https://open.spotify.com/track/2nPVGg1nRmzUxBUFdl2q3x"	"2nPVGg1nRmzUxBUFdl2q3x"	"spotify:track:2nPVGg1nRmzUxBUFdl2q3x"
"Lady In White"	"Lost In The Trees"	"10:08pm"	2016-05-04	"Past Life"	" Ari Picker"	"https://open.spotify.com/track/77lHVrDsMrtmQQIgDIXjhW"	"77lHVrDsMrtmQQIgDIXjhW"	"spotify:track:77lHVrDsMrtmQQIgDIXjhW"
"The Road To Nowhere"	"Radical Face"	"10:13pm"	2016-05-04	"The Road To Nowhere (Single)"	" Ben Cooper"	"https://open.spotify.com/track/1Mp5520Sw13k45on27nRnb"	"1Mp5520Sw13k45on27nRnb"	"spotify:track:1Mp5520Sw13k45on27nRnb"
"Club Meds"	"Dan Mangan + Blacksmith"	"10:18pm"	2016-05-04	"Club Meds"	" Dan Mangan"	NA	NA	NA
"Numb"	"These Brittle Bones"	"10:21pm"	2016-05-04	"Numb (Single)"	"These Brittle Bones"	"https://open.spotify.com/track/56YogJheUs3c2r3TIq8CKn"	"56YogJheUs3c2r3TIq8CKn"	"spotify:track:56YogJheUs3c2r3TIq8CKn"
"When The City Fell"	"Selina Martin"	"10:25pm"	2016-05-04	"...Caruso's Brain..."	" Selina Martin"	"https://open.spotify.com/track/026RbvEDu3lqHRFqCvDLY7"	"026RbvEDu3lqHRFqCvDLY7"	"spotify:track:026RbvEDu3lqHRFqCvDLY7"
"Drive"	"Britta Phillips"	"10:28pm"	2016-05-04	"Drive (Single)"	" Ric Ocasek"	"https://open.spotify.com/track/0c4b5mPemzuWX4jScPr5vY"	"0c4b5mPemzuWX4jScPr5vY"	"spotify:track:0c4b5mPemzuWX4jScPr5vY"
"Modern Mind"	"Bry Webb"	"10:33pm"	2016-05-04	"Modern Mind (Single)"	" Bry Webb"	NA	NA	NA
"The Night"	"Will Driving West"	"10:38pm"	2016-05-04	"The Night (Single)"	" Daniel Ratte"	"https://open.spotify.com/track/2eXJEQobdhpGqDOpTBSq1o"	"2eXJEQobdhpGqDOpTBSq1o"	"spotify:track:2eXJEQobdhpGqDOpTBSq1o"
"West"	"River Tiber, (Feat. Daniel Caesar)"	"10:42pm"	2016-05-04	"West (Single)"	"River Tiber"	"https://open.spotify.com/track/0goBYjbBQgiNtgvRpTFORV"	"0goBYjbBQgiNtgvRpTFORV"	"spotify:track:0goBYjbBQgiNtgvRpTFORV"
"Let Me Know"	"Kalyna Rakel"	"10:46pm"	2016-05-04	"Let Me Know (Single)"	" Kalyna Rakel"	"https://open.spotify.com/track/4l8Lo3QN8bpWupDDDoztbd"	"4l8Lo3QN8bpWupDDDoztbd"	"spotify:track:4l8Lo3QN8bpWupDDDoztbd"
"How The Heroine Dies"	"The Barr Brothers"	"10:50pm"	2016-05-04	"Sleeping Operator"	" Brad Barr, Andrew Barr, Sarah Page"	"https://open.spotify.com/track/2Md2myBpRiQQRxw5cmZ22H"	"2Md2myBpRiQQRxw5cmZ22H"	"spotify:track:2Md2myBpRiQQRxw5cmZ22H"
"Nostos"	"Michel Blais Jean"	"10:55pm"	2016-05-04	"Il"	"Michel  Jean Blais"	"https://open.spotify.com/track/0W7B9MsXAJQerT6jE414cF"	"0W7B9MsXAJQerT6jE414cF"	"spotify:track:0W7B9MsXAJQerT6jE414cF"
"Lick My Wounds"	"The Do"	"11:03pm"	2016-05-04	"Lick My Wounds (Single)"	" Olivia Merilahti, Dan Levy"	"https://open.spotify.com/track/5W9CMItsgFT2smY876MYNZ"	"5W9CMItsgFT2smY876MYNZ"	"spotify:track:5W9CMItsgFT2smY876MYNZ"
"#88"	"Fang Lo"	"11:07pm"	2016-05-04	"#88 (Single)"	"Fang Lo"	"https://open.spotify.com/track/1jjwFHRnfgBTJ049RJz8CQ"	"1jjwFHRnfgBTJ049RJz8CQ"	"spotify:track:1jjwFHRnfgBTJ049RJz8CQ"
"Fortify"	"Kate Miller"	"11:13pm"	2016-05-04	"Neophyte, Ep"	" Kate Miller"	"https://open.spotify.com/track/1XF3UZVN7lXRYzbHd3ZdKo"	"1XF3UZVN7lXRYzbHd3ZdKo"	"spotify:track:1XF3UZVN7lXRYzbHd3ZdKo"
"Multi-Love"	"Unknown Mortal Orchestra"	"11:19pm"	2016-05-04	"Multi-Love (Single)"	" Ruban Nielson"	"https://open.spotify.com/track/0PEXp5yk0sx9dJ8JzwvjJb"	"0PEXp5yk0sx9dJ8JzwvjJb"	"spotify:track:0PEXp5yk0sx9dJ8JzwvjJb"
"Perch Patchwork"	"Maps & Atlases"	"11:22pm"	2016-05-04	"Perch Patchwork"	" Dave Davison"	"https://open.spotify.com/track/5cEKevIzpXKaWZ8uXfp9iQ"	"5cEKevIzpXKaWZ8uXfp9iQ"	"spotify:track:5cEKevIzpXKaWZ8uXfp9iQ"
"Un-No"	"Suuns"	"11:28pm"	2016-05-04	"Suuns: Hold/Still"	" Joseph Yarmush, Benjamin Shemie, Liam O'neill, Max Henry"	"https://open.spotify.com/track/1b32QzSYk7usIZnU7y5wzO"	"1b32QzSYk7usIZnU7y5wzO"	"spotify:track:1b32QzSYk7usIZnU7y5wzO"
"Folders"	"Ryan Playground, Ryan Hemsworth"	"11:32pm"	2016-05-04	"Folders (Single)"	"Ryan Playground"	"https://open.spotify.com/track/3Biq6D20gB25YBpmZM6NxB"	"3Biq6D20gB25YBpmZM6NxB"	"spotify:track:3Biq6D20gB25YBpmZM6NxB"
"Artlab 5"	"Phaneuf Ian Doig"	"11:36pm"	2016-05-04	"A Person Disguised As People: Forest City Series, Vol. 2"	" Ian Phaneuf Doig"	NA	NA	NA
"A Heart Beats Through It"	"Our Founders"	"11:40pm"	2016-05-04	"A Heart Beats Through It (Single)"	" Michael Olsen"	NA	NA	NA
"Guess Again!"	"Thom Yorke"	"11:44pm"	2016-05-04	"Tomorrow's Modern Boxes"	" Thom Yorke"	NA	NA	NA
"Union Libre Avec La Peur"	"Fontarabie"	"11:49pm"	2016-05-04	"Fontarabie"	" Julien Mineau, Virginie Parr"	"https://open.spotify.com/track/17oF8xZwhcQrARnMPtZLiJ"	"17oF8xZwhcQrARnMPtZLiJ"	"spotify:track:17oF8xZwhcQrARnMPtZLiJ"
"Miroirs D'automne"	"Lisbonne Telegramme"	"11:54pm"	2016-05-04	"Lisbonne Telegramme: Miroir D'automne"	"Maritza, Francois (Can) Dufault, Martin Farmer, Eric Rathe"	"https://open.spotify.com/track/3Rg5DQWHH9sN1x8FZZjFvK"	"3Rg5DQWHH9sN1x8FZZjFvK"	"spotify:track:3Rg5DQWHH9sN1x8FZZjFvK"
"Something Overheard"	"Wendy Atkinson"	"11:59pm"	2016-05-04	"The Last Fret"	" Wendy Atkinson"	NA	NA	NA
"Gibraltar"	"Beirut"	"10:04pm"	2016-05-05	"No No No"	" Zach Condon"	"https://open.spotify.com/track/5WUxLqUKQdEZ5oW3uZiSni"	"5WUxLqUKQdEZ5oW3uZiSni"	"spotify:track:5WUxLqUKQdEZ5oW3uZiSni"
