"Title"	"Artist"	"Time"	"Date"	"Album"	"Composers"	"url"	"spotify_id"	"spotify_uri"
"Blastula"	"Fontarabie"	"10:34pm"	2016-06-17	"Fontarabie"	" Julien Mineau, Virginie Parr"	"https://open.spotify.com/track/7Ad4rTPd5vAJO8mHJDxSto"	"7Ad4rTPd5vAJO8mHJDxSto"	"spotify:track:7Ad4rTPd5vAJO8mHJDxSto"
"Turn Into The Noise"	"Patrick Watson"	"10:38pm"	2016-06-17	"Turn Into The Noise (Single)"	" Patrick Watson"	"https://open.spotify.com/track/6erFhWnABII2RY3OwT3wUA"	"6erFhWnABII2RY3OwT3wUA"	"spotify:track:6erFhWnABII2RY3OwT3wUA"
"How Come You Never Go There (Beck Remix)"	"Feist"	"10:45pm"	2016-06-17	"How Come You Never Go There (Beck Remix)"	"Feist"	"https://open.spotify.com/track/7cMC7TI2vdFLYU1pFvLsft"	"7cMC7TI2vdFLYU1pFvLsft"	"spotify:track:7cMC7TI2vdFLYU1pFvLsft"
"True"	"Jerome Lol"	"10:48pm"	2016-06-17	"Deleted/Fool Ep"	"Jerome Lol"	"https://open.spotify.com/track/5r42bYieIDiVClU3KIzeJE"	"5r42bYieIDiVClU3KIzeJE"	"spotify:track:5r42bYieIDiVClU3KIzeJE"
"Trust The Light"	"Knower"	"10:54pm"	2016-06-17	"Trust The Light"	" Genevieve Artadi, Louis Cole"	"https://open.spotify.com/track/4ROtaPYggXhf9bYV99fHBW"	"4ROtaPYggXhf9bYV99fHBW"	"spotify:track:4ROtaPYggXhf9bYV99fHBW"
"Epic Sweep"	"Aqua Alta"	"10:55pm"	2016-06-17	"Dreamsphere"	" Graeme Campbell, Charles Austin, Jenn Grant"	"https://open.spotify.com/track/5q3QIiiahjQlu65ypVoP5e"	"5q3QIiiahjQlu65ypVoP5e"	"spotify:track:5q3QIiiahjQlu65ypVoP5e"
"Atoms For Peace"	"Thom Yorke"	"11:03pm"	2016-06-17	"Eraser"	" Thom Yorke"	NA	NA	NA
"Discoloration"	"Dawn Golden"	"11:08pm"	2016-06-17	"Still Life"	" Dexter Tortoriello"	"https://open.spotify.com/track/6q2gIXFm5fUWq4ERORc8Pk"	"6q2gIXFm5fUWq4ERORc8Pk"	"spotify:track:6q2gIXFm5fUWq4ERORc8Pk"
"Absisto"	"Cold Specks"	"11:12pm"	2016-06-17	"Absisto (Single)"	"Cold Specks"	"https://open.spotify.com/track/63QM77DZPmOFSPo6l6dk3L"	"63QM77DZPmOFSPo6l6dk3L"	"spotify:track:63QM77DZPmOFSPo6l6dk3L"
"This Is The Last Time"	"The National"	"11:17pm"	2016-06-17	"Trouble Will Find Me"	" Aaron Dessner, Scott Devendorf, Bryan Devendorf, Carin Besser, Matt Berninger, Bryce Dessner"	"https://open.spotify.com/track/6XW2rKHwNnX5qzk79Qis9w"	"6XW2rKHwNnX5qzk79Qis9w"	"spotify:track:6XW2rKHwNnX5qzk79Qis9w"
